code,name,name_ja,rate,year
SAU,Saudi Arabia,サウジアラビア,20.0,2025
SDN,Sudan,スーダン,35.0,2025
SEN,Senegal,セネガル,30.0,2025
SGP,Singapore,シンガポール,17.0,2025
SHN,Saint Helena,Saint Helena,25.0,2025
SLB,Solomon Islands,ソロモン諸島,30.0,2025
SLE,Sierra Leone,シエラレオネ,25.0,2025
SLV,El Salvador,エルサルバドル,30.0,2025
SMR,San Marino,サンマリノ,17.0,2025
SOM,Somalia,ソマリア,15.0,2025
SRB,Serbia,セルビア,15.0,2025
SSD,South Sudan,South Sudan,30.0,2025
STP,Sao Tome and Principe,サントメ・プリンシペ,25.0,2025
SUR,Suriname,スリナム,36.0,2025
SVK,Slovakia,スロバキア,24.0,2025
SVN,Slovenia,スロベニア,22.0,2025
SWE,Sweden,スウェーデン,20.6,2025
SWZ,Swaziland,エスワティニ,25.0,2025
SXM,Sint Maarten (Dutch part),シント・マールテン,34.5,2025
SYC,Seychelles,セーシェル,25.0,2025
SYR,Syrian Arab Republic,シリア,25.0,2025
TCA,Turks and Caicos Islands,タークス・カイコス諸島,0.0,2025
TCD,Chad,チャド,35.0,2025
TGO,Togo,トーゴ,27.0,2025
THA,Thailand,タイ,20.0,2025
TJK,Tajikistan,タジキスタン,18.0,2025
TKL,Tokelau,Tokelau,0.0,2025
TKM,Turkmenistan,トルクメニスタン,8.0,2025
TLS,Timor-Leste,東ティモール,10.0,2025
TON,Tonga,トンガ,25.0,2025
TTO,Trinidad and Tobago,トリニダード・トバゴ,30.0,2025
TUN,Tunisia,チュニジア,20.0,2025
TUR,Turkey,トルコ,25.0,2025
TWN,Taiwan,台湾,20.0,2025
TZA,United Republic of Tanzania,タンザニア,30.0,2025
UGA,Uganda,ウガンダ,30.0,2025
UKR,Ukraine,ウクライナ,18.0,2025
URY,Uruguay,ウルグアイ,25.0,2025
USA,United States of America,アメリカ合衆国,25.57,2025
UZB,Uzbekistan,ウズベキスタン,15.0,2025
VCT,Saint Vincent and the Grenadines,セントビンセント・グレナディーン,28.0,2025
VEN,Bolivarian Republic of Venezuela,ベネズエラ,34.0,2025
VGB,British Virgin Islands,英領バージン諸島,0.0,2025
VIR,United States Virgin Islands,United States Virgin Islands,23.1,2025
VNM,Viet Nam,ベトナム,20.0,2025
VUT,Vanuatu,バヌアツ,0.0,2025
WLF,Wallis and Futuna Islands,ウォリス・フツナ,0.0,2025
WSM,Samoa,サモア,27.0,2025
XKX,Republic of Kosovo,コソボ,10.0,2025
YEM,Yemen,イエメン,20.0,2025
ZAF,South Africa,南アフリカ,27.0,2025
ZMB,Zambia,ザンビア,30.0,2025
ZWE,Zimbabwe,ジンバブエ,25.75,2025
