code,name,name_ja,measure,value,year
JPN,Japan,日本,EATR,28.36,2025
JPN,Japan,日本,EMTR,29.26,2025
KEN,Kenya,ケニア,EATR,27.17,2025
KEN,Kenya,ケニア,EMTR,15.95,2025
KOR,Korea,韓国,EATR,24.87,2025
KOR,Korea,韓国,EMTR,22.0,2025
LBR,Liberia,リベリア,EATR,29.75,2025
LBR,Liberia,リベリア,EMTR,75.53,2025
LIE,Liechtenstein,リヒテンシュタイン,EATR,10.18,2025
LIE,Liechtenstein,リヒテンシュタイン,EMTR,-3.38,2025
LTU,Lithuania,リトアニア,EATR,14.59,2025
LTU,Lithuania,リトアニア,EMTR,7.83,2025
LUX,Luxembourg,ルクセンブルク,EATR,22.54,2025
LUX,Luxembourg,ルクセンブルク,EMTR,19.74,2025
LVA,Latvia,ラトビア,EATR,17.0,2025
LVA,Latvia,ラトビア,EMTR,0.0,2025
MAC,Macau (China),マカオ,EATR,11.15,2025
MAC,Macau (China),マカオ,EMTR,7.2,2025
MEX,Mexico,メキシコ,EATR,27.63,2025
MEX,Mexico,メキシコ,EMTR,20.29,2025
MKD,North Macedonia,北マケドニア,EATR,9.3,2025
MKD,North Macedonia,北マケドニア,EMTR,5.92,2025
MLT,Malta,マルタ,EATR,28.8,2025
MLT,Malta,マルタ,EMTR,-9.75,2025
MSR,Montserrat,モントセラト,EATR,28.3,2025
MSR,Montserrat,モントセラト,EMTR,26.68,2025
MUS,Mauritius,モーリシャス,EATR,5.75,2025
MUS,Mauritius,モーリシャス,EMTR,-54.91,2025
MYS,Malaysia,マレーシア,EATR,23.42,2025
MYS,Malaysia,マレーシア,EMTR,26.53,2025
NAM,Namibia,ナミビア,EATR,31.42,2025
NAM,Namibia,ナミビア,EMTR,56.38,2025
NGA,Nigeria,ナイジェリア,EATR,26.74,2025
NGA,Nigeria,ナイジェリア,EMTR,11.8,2025
NIC,Nicaragua,ニカラグア,EATR,26.85,2025
NIC,Nicaragua,ニカラグア,EMTR,12.89,2025
NLD,Netherlands,オランダ,EATR,24.47,2025
NLD,Netherlands,オランダ,EMTR,22.83,2025
NOR,Norway,ノルウェー,EATR,21.41,2025
NOR,Norway,ノルウェー,EMTR,23.21,2025
NZL,New Zealand,ニュージーランド,EATR,26.86,2025
NZL,New Zealand,ニュージーランド,EMTR,28.33,2025
PAN,Panama,パナマ,EATR,23.33,2025
PAN,Panama,パナマ,EMTR,18.47,2025
PER,Peru,ペルー,EATR,29.17,2025
PER,Peru,ペルー,EMTR,38.68,2025
PNG,Papua New Guinea,パプアニューギニア,EATR,30.14,2025
PNG,Papua New Guinea,パプアニューギニア,EMTR,44.16,2025
POL,Poland,ポーランド,EATR,15.0,2025
POL,Poland,ポーランド,EMTR,-9.47,2025
PRT,Portugal,ポルトガル,EATR,27.53,2025
PRT,Portugal,ポルトガル,EMTR,15.4,2025
PRY,Paraguay,パラグアイ,EATR,9.44,2025
PRY,Paraguay,パラグアイ,EMTR,7.0,2025
QAT,Qatar,カタール,EATR,9.1,2025
QAT,Qatar,カタール,EMTR,4.46,2025
ROU,Romania,ルーマニア,EATR,14.41,2025
ROU,Romania,ルーマニア,EMTR,6.44,2025
SAU,Saudi Arabia,サウジアラビア,EATR,18.59,2025
SAU,Saudi Arabia,サウジアラビア,EMTR,25.9,2025
SEN,Senegal,セネガル,EATR,28.64,2025
SEN,Senegal,セネガル,EMTR,29.92,2025
SGP,Singapore,シンガポール,EATR,16.09,2025
SGP,Singapore,シンガポール,EMTR,13.15,2025
SLV,El Salvador,エルサルバドル,EATR,27.49,2025
SLV,El Salvador,エルサルバドル,EMTR,18.93,2025
SRB,Serbia,セルビア,EATR,14.44,2025
SRB,Serbia,セルビア,EMTR,13.23,2025
SVK,Slovak Republic,スロバキア,EATR,22.09,2025
SVK,Slovak Republic,スロバキア,EMTR,14.87,2025
SVN,Slovenia,スロベニア,EATR,20.13,2025
SVN,Slovenia,スロベニア,EMTR,12.2,2025
SWE,Sweden,スウェーデン,EATR,19.55,2025
SWE,Sweden,スウェーデン,EMTR,17.12,2025
SWZ,Eswatini,エスワティニ,EATR,25.7,2025
SWZ,Eswatini,エスワティニ,EMTR,21.37,2025
SYC,Seychelles,セーシェル,EATR,23.2,2025
SYC,Seychelles,セーシェル,EMTR,17.33,2025
TCA,Turks and Caicos Islands,タークス・カイコス諸島,EATR,0.0,2025
TCA,Turks and Caicos Islands,タークス・カイコス諸島,EMTR,0.0,2025
THA,Thailand,タイ,EATR,18.45,2025
THA,Thailand,タイ,EMTR,12.06,2025
TUN,Tunisia,チュニジア,EATR,18.19,2025
TUN,Tunisia,チュニジア,EMTR,9.9,2025
TUR,Türkiye,トルコ,EATR,22.33,2025
TUR,Türkiye,トルコ,EMTR,9.56,2025
UKR,Ukraine,ウクライナ,EATR,16.68,2025
UKR,Ukraine,ウクライナ,EMTR,11.23,2025
URY,Uruguay,ウルグアイ,EATR,24.24,2025
URY,Uruguay,ウルグアイ,EMTR,26.61,2025
USA,United States,アメリカ合衆国,EATR,22.14,2025
USA,United States,アメリカ合衆国,EMTR,3.66,2025
VGB,British Virgin Islands,英領バージン諸島,EATR,0.0,2025
VGB,British Virgin Islands,英領バージン諸島,EMTR,0.0,2025
VNM,Viet Nam,ベトナム,EATR,18.14,2025
VNM,Viet Nam,ベトナム,EMTR,9.46,2025
ZAF,South Africa,南アフリカ,EATR,24.38,2025
ZAF,South Africa,南アフリカ,EMTR,13.08,2025
ZMB,Zambia,ザンビア,EATR,42.12,2025
ZMB,Zambia,ザンビア,EMTR,158.3,2025
